Round,Equipe 1,Equipe 2,Date,Resultat
1,Wydad,FUS Rabat,31/08,0 - 2
1,FAR Rabat,Chabab Mohammedia,30/08,2 - 0
1,Berkane,Mouloudia Oujda,27/08,2 - 0
1,Youssoufia Berrechid,Raja Casablanca,27/08,1 - 3
1,IR Tanger,Jeunesse Sportive Soualem,27/08,0 - 2
1,Union Touarga,Renaissance Zemamra,26/08,2 - 1
1,Olympique de Safi,Hassania Agadir,26/08,1 - 1
1,Maghreb Fez,Moghreb Tetouan,25/08,2 - 1
2,Chabab Mohammedia,Wydad,03/09,2 - 3
2,Berkane,IR Tanger,03/09,2 - 1
2,FUS Rabat,Maghreb Fez,03/09,0 - 0
2,Raja Casablanca,FAR Rabat,03/09,2 - 2
2,Moghreb Tetouan,Olympique de Safi,02/09,0 - 0
2,Mouloudia Oujda,Union Touarga,02/09,1 - 3
2,Renaissance Zemamra,Youssoufia Berrechid,02/09,1 - 0
2,Jeunesse Sportive Soualem,Hassania Agadir,01/09,1 - 0
3,Wydad,Jeunesse Sportive Soualem,21/09,1 - 0
3,FAR Rabat,Renaissance Zemamra,20/09,3 - 1
3,Union Touarga,Berkane,20/09,1 - 3
3,IR Tanger,Mouloudia Oujda,17/09,1 - 1
3,Maghreb Fez,Raja Casablanca,17/09,1 - 1
3,Youssoufia Berrechid,Chabab Mohammedia,16/09,0 - 1
3,Olympique de Safi,FUS Rabat,16/09,0 - 0
3,Hassania Agadir,Moghreb Tetouan,16/09,0 - 2
4,FUS Rabat,Hassania Agadir,27/09,2 - 0
4,Renaissance Zemamra,Maghreb Fez,25/09,1 - 1
4,Mouloudia Oujda,FAR Rabat,25/09,0 - 3
4,Jeunesse Sportive Soualem,Olympique de Safi,25/09,0 - 1
4,Berkane,Wydad,24/09,0 - 0
4,Raja Casablanca,Union Touarga,24/09,1 - 0
4,Chabab Mohammedia,Moghreb Tetouan,23/09,0 - 1
4,IR Tanger,Youssoufia Berrechid,23/09,2 - 1
5,Moghreb Tetouan,FUS Rabat,05/10,2 - 1
5,FAR Rabat,Berkane,04/10,0 - 0
5,Wydad,Renaissance Zemamra,04/10,3 - 1
5,Union Touarga,IR Tanger,01/10,2 - 2
5,Maghreb Fez,Jeunesse Sportive Soualem,01/10,3 - 0
5,Youssoufia Berrechid,Mouloudia Oujda,01/10,0 - 0
5,Hassania Agadir,Raja Casablanca,01/10,1 - 1
5,Olympique de Safi,Chabab Mohammedia,30/09,0 - 0
6,Raja Casablanca,Moghreb Tetouan,08/10,1 - 0
6,Berkane,Youssoufia Berrechid,08/10,3 - 1
6,Renaissance Zemamra,Olympique de Safi,08/10,3 - 2
6,Jeunesse Sportive Soualem,FUS Rabat,08/10,1 - 3
6,IR Tanger,Wydad,07/10,0 - 3
6,Mouloudia Oujda,Maghreb Fez,07/10,1 - 3
6,Union Touarga,FAR Rabat,07/10,2 - 1
6,Chabab Mohammedia,Hassania Agadir,06/10,3 - 1
7,Wydad,Mouloudia Oujda,06/12,3 - 1
7,Maghreb Fez,Berkane,29/10,0 - 0
7,Moghreb Tetouan,Jeunesse Sportive Soualem,29/10,4 - 0
7,FAR Rabat,IR Tanger,29/10,1 - 0
7,Youssoufia Berrechid,Union Touarga,28/10,2 - 1
7,Olympique de Safi,Raja Casablanca,28/10,2 - 2
7,Hassania Agadir,Renaissance Zemamra,28/10,2 - 2
7,FUS Rabat,Chabab Mohammedia,27/10,1 - 0
8,Union Touarga,Wydad,12/12,0 - 1
8,Raja Casablanca,FUS Rabat,06/11,2 - 0
8,Mouloudia Oujda,Olympique de Safi,05/11,1 - 1
8,IR Tanger,Maghreb Fez,05/11,2 - 2
8,FAR Rabat,Youssoufia Berrechid,04/11,4 - 1
8,Berkane,Hassania Agadir,04/11,0 - 0
8,Renaissance Zemamra,Moghreb Tetouan,04/11,1 - 1
8,Jeunesse Sportive Soualem,Chabab Mohammedia,03/11,2 - 2
9,Wydad,Youssoufia Berrechid,23/12,1 - 0
9,Hassania Agadir,IR Tanger,12/11,1 - 1
9,Chabab Mohammedia,Renaissance Zemamra,12/11,0 - 2
9,Olympique de Safi,FAR Rabat,11/11,1 - 0
9,Jeunesse Sportive Soualem,Raja Casablanca,11/11,0 - 0
9,FUS Rabat,Berkane,11/11,1 - 1
9,Moghreb Tetouan,Mouloudia Oujda,10/11,1 - 1
9,Maghreb Fez,Union Touarga,10/11,0 - 1
10,Berkane,Olympique de Safi,07/12,3 - 0
10,FAR Rabat,Wydad,28/11,3 - 1
10,IR Tanger,Moghreb Tetouan,26/11,1 - 1
10,Renaissance Zemamra,Jeunesse Sportive Soualem,26/11,0 - 1
10,Raja Casablanca,Chabab Mohammedia,26/11,1 - 0
10,Youssoufia Berrechid,Maghreb Fez,25/11,1 - 0
10,Mouloudia Oujda,Hassania Agadir,25/11,1 - 0
10,Union Touarga,FUS Rabat,24/11,0 - 0
11,Hassania Agadir,Wydad,26/12,0 - 0
11,Moghreb Tetouan,Berkane,13/12,0 - 0
11,Olympique de Safi,Youssoufia Berrechid,10/12,3 - 1
11,Chabab Mohammedia,Mouloudia Oujda,10/12,1 - 0
11,Jeunesse Sportive Soualem,Union Touarga,09/12,1 - 0
11,Raja Casablanca,Renaissance Zemamra,09/12,2 - 1
11,FUS Rabat,IR Tanger,08/12,0 - 0
11,Maghreb Fez,FAR Rabat,08/12,1 - 3
12,Wydad,Maghreb Fez,11/01,1 - 1
12,Berkane,Raja Casablanca,24/12,1 - 1
12,Youssoufia Berrechid,Moghreb Tetouan,17/12,0 - 0
12,FAR Rabat,Hassania Agadir,17/12,2 - 1
12,Renaissance Zemamra,FUS Rabat,17/12,1 - 2
12,Union Touarga,Chabab Mohammedia,16/12,1 - 2
12,IR Tanger,Olympique de Safi,16/12,0 - 0
12,Mouloudia Oujda,Jeunesse Sportive Soualem,16/12,3 - 2
13,Jeunesse Sportive Soualem,FAR Rabat,29/12,2 - 2
13,Hassania Agadir,Maghreb Fez,29/12,2 - 1
13,Olympique de Safi,Wydad,29/12,2 - 1
13,Renaissance Zemamra,Mouloudia Oujda,29/12,0 - 1
13,Moghreb Tetouan,Union Touarga,28/12,1 - 1
13,Chabab Mohammedia,Berkane,28/12,1 - 1
13,FUS Rabat,Youssoufia Berrechid,28/12,1 - 1
13,Raja Casablanca,IR Tanger,28/12,6 - 1
14,FAR Rabat,Moghreb Tetouan,04/01,3 - 0
14,Berkane,Jeunesse Sportive Soualem,04/01,3 - 1
14,Youssoufia Berrechid,Hassania Agadir,04/01,1 - 2
14,Union Touarga,Olympique de Safi,04/01,1 - 0
14,IR Tanger,Renaissance Zemamra,03/01,1 - 1
14,Maghreb Fez,Chabab Mohammedia,03/01,2 - 1
14,Mouloudia Oujda,FUS Rabat,03/01,2 - 1
14,Wydad,Raja Casablanca,03/01,0 - 2
15,FUS Rabat,FAR Rabat,08/01,1 - 4
15,Jeunesse Sportive Soualem,Youssoufia Berrechid,08/01,3 - 1
15,Olympique de Safi,Maghreb Fez,07/01,1 - 1
15,Moghreb Tetouan,Wydad,07/01,0 - 0
15,Hassania Agadir,Union Touarga,07/01,3 - 2
15,Renaissance Zemamra,Berkane,07/01,2 - 1
15,Chabab Mohammedia,IR Tanger,06/01,1 - 0
15,Raja Casablanca,Mouloudia Oujda,06/01,2 - 0
16,Chabab Mohammedia,FAR Rabat,08/02,0 - 3
16,Mouloudia Oujda,Berkane,08/02,1 - 0
16,Raja Casablanca,Youssoufia Berrechid,08/02,2 - 0
16,Hassania Agadir,Olympique de Safi,07/02,1 - 1
16,Moghreb Tetouan,Maghreb Fez,07/02,0 - 2
16,FUS Rabat,Wydad,07/02,2 - 1
16,Jeunesse Sportive Soualem,IR Tanger,07/02,1 - 3
16,Renaissance Zemamra,Union Touarga,07/02,1 - 2
17,Union Touarga,Mouloudia Oujda,11/02,2 - 0
17,Wydad,Chabab Mohammedia,11/02,5 - 2
17,FAR Rabat,Raja Casablanca,11/02,1 - 1
17,IR Tanger,Berkane,11/02,0 - 1
17,Youssoufia Berrechid,Renaissance Zemamra,11/02,1 - 0
17,Maghreb Fez,FUS Rabat,10/02,1 - 2
17,Olympique de Safi,Moghreb Tetouan,10/02,2 - 1
17,Hassania Agadir,Jeunesse Sportive Soualem,10/02,2 - 1
18,Chabab Mohammedia,Youssoufia Berrechid,15/02,2 - 2
18,Mouloudia Oujda,IR Tanger,15/02,1 - 1
18,Jeunesse Sportive Soualem,Wydad,14/02,3 - 1
18,Raja Casablanca,Maghreb Fez,14/02,1 - 0
18,Berkane,Union Touarga,14/02,0 - 0
18,Renaissance Zemamra,FAR Rabat,14/02,0 - 1
18,FUS Rabat,Olympique de Safi,13/02,0 - 0
18,Moghreb Tetouan,Hassania Agadir,13/02,1 - 1
19,Moghreb Tetouan,Chabab Mohammedia,18/02,1 - 0
19,FAR Rabat,Mouloudia Oujda,18/02,5 - 0
19,Youssoufia Berrechid,IR Tanger,18/02,0 - 1
19,Union Touarga,Raja Casablanca,17/02,0 - 0
19,Maghreb Fez,Renaissance Zemamra,17/02,2 - 3
19,Wydad,Berkane,17/02,1 - 0
19,Olympique de Safi,Jeunesse Sportive Soualem,17/02,1 - 0
19,Hassania Agadir,FUS Rabat,16/02,1 - 3
20,Berkane,FAR Rabat,06/03,1 - 2
20,Renaissance Zemamra,Wydad,05/03,0 - 0
20,Mouloudia Oujda,Youssoufia Berrechid,22/02,1 - 1
20,IR Tanger,Union Touarga,22/02,2 - 1
20,Chabab Mohammedia,Olympique de Safi,21/02,1 - 0
20,FUS Rabat,Moghreb Tetouan,21/02,1 - 1
20,Jeunesse Sportive Soualem,Maghreb Fez,20/02,1 - 1
20,Raja Casablanca,Hassania Agadir,20/02,2 - 0
21,Youssoufia Berrechid,Berkane,13/03,0 - 0
21,Wydad,IR Tanger,12/03,0 - 2
21,Maghreb Fez,Mouloudia Oujda,25/02,1 - 0
21,FAR Rabat,Union Touarga,25/02,3 - 0
21,Hassania Agadir,Chabab Mohammedia,25/02,2 - 0
21,Olympique de Safi,Renaissance Zemamra,24/02,2 - 0
21,Moghreb Tetouan,Raja Casablanca,24/02,1 - 1
21,FUS Rabat,Jeunesse Sportive Soualem,24/02,1 - 0
22,Mouloudia Oujda,Wydad,21/03,0 - 2
22,Berkane,Maghreb Fez,20/03,2 - 1
22,Raja Casablanca,Olympique de Safi,03/03,1 - 0
22,Jeunesse Sportive Soualem,Moghreb Tetouan,03/03,1 - 2
22,Renaissance Zemamra,Hassania Agadir,02/03,3 - 0
22,IR Tanger,FAR Rabat,02/03,1 - 2
22,Union Touarga,Youssoufia Berrechid,01/03,3 - 2
22,Chabab Mohammedia,FUS Rabat,01/03,0 - 1
23,Youssoufia Berrechid,FAR Rabat,10/03,0 - 2
23,FUS Rabat,Raja Casablanca,10/03,0 - 1
23,Hassania Agadir,Berkane,10/03,0 - 2
23,Moghreb Tetouan,Renaissance Zemamra,10/03,0 - 1
23,Maghreb Fez,IR Tanger,09/03,2 - 1
23,Olympique de Safi,Mouloudia Oujda,09/03,3 - 1
23,Wydad,Union Touarga,09/03,0 - 0
23,Chabab Mohammedia,Jeunesse Sportive Soualem,08/03,0 - 1
24,Berkane,FUS Rabat,17/03,2 - 0
24,IR Tanger,Hassania Agadir,17/03,0 - 1
24,Youssoufia Berrechid,Wydad,17/03,0 - 0
24,FAR Rabat,Olympique de Safi,16/03,1 - 0
24,Mouloudia Oujda,Moghreb Tetouan,16/03,0 - 1
24,Raja Casablanca,Jeunesse Sportive Soualem,16/03,3 - 1
24,Renaissance Zemamra,Chabab Mohammedia,16/03,0 - 0
24,Union Touarga,Maghreb Fez,15/03,1 - 0
25,Jeunesse Sportive Soualem,Renaissance Zemamra,15/04,1 - 1
25,Chabab Mohammedia,Raja Casablanca,14/04,0 - 2
25,Moghreb Tetouan,IR Tanger,14/04,1 - 1
25,Olympique de Safi,Berkane,14/04,1 - 2
25,Hassania Agadir,Mouloudia Oujda,13/04,2 - 2
25,FUS Rabat,Union Touarga,13/04,1 - 1
25,Wydad,FAR Rabat,13/04,0 - 1
25,Maghreb Fez,Youssoufia Berrechid,13/04,0 - 1
26,Berkane,Moghreb Tetouan,07/05,3 - 2
26,Renaissance Zemamra,Raja Casablanca,21/04,1 - 2
26,FAR Rabat,Maghreb Fez,21/04,3 - 1
26,Union Touarga,Jeunesse Sportive Soualem,21/04,0 - 1
26,Wydad,Hassania Agadir,20/04,1 - 0
26,Mouloudia Oujda,Chabab Mohammedia,20/04,0 - 0
26,IR Tanger,FUS Rabat,20/04,2 - 1
26,Youssoufia Berrechid,Olympique de Safi,19/04,0 - 1
27,Raja Casablanca,Berkane,24/05,3 - 0
27,Moghreb Tetouan,Youssoufia Berrechid,28/04,0 - 0
27,Maghreb Fez,Wydad,28/04,1 - 1
27,FUS Rabat,Renaissance Zemamra,28/04,0 - 2
27,Olympique de Safi,IR Tanger,27/04,1 - 1
27,Hassania Agadir,FAR Rabat,27/04,2 - 1
27,Chabab Mohammedia,Union Touarga,27/04,0 - 2
27,Jeunesse Sportive Soualem,Mouloudia Oujda,26/04,0 - 0
28,Berkane,Chabab Mohammedia,28/05,2 - 0
28,FAR Rabat,Jeunesse Sportive Soualem,28/05,3 - 1
28,IR Tanger,Raja Casablanca,28/05,1 - 2
28,Mouloudia Oujda,Renaissance Zemamra,28/05,1 - 2
28,Wydad,Olympique de Safi,28/05,0 - 1
28,Youssoufia Berrechid,FUS Rabat,28/05,0 - 5
28,Union Touarga,Moghreb Tetouan,27/05,1 - 0
28,Maghreb Fez,Hassania Agadir,27/05,2 - 2
29,Moghreb Tetouan,FAR Rabat,02/06,2 - 2
29,Raja Casablanca,Wydad,02/06,1 - 0
29,Chabab Mohammedia,Maghreb Fez,01/06,0 - 2
29,FUS Rabat,Mouloudia Oujda,01/06,0 - 0
29,Hassania Agadir,Youssoufia Berrechid,01/06,4 - 1
29,Jeunesse Sportive Soualem,Berkane,01/06,1 - 2
29,Olympique de Safi,Union Touarga,01/06,1 - 3
29,Renaissance Zemamra,IR Tanger,01/06,0 - 1
30,FAR Rabat,FUS Rabat,14/06,2 - 0
30,IR Tanger,Chabab Mohammedia,14/06,0 - 0
30,Maghreb Fez,Olympique de Safi,14/06,0 - 1
30,Mouloudia Oujda,Raja Casablanca,14/06,0 - 3
30,Union Touarga,Hassania Agadir,14/06,3 - 3
30,Wydad,Moghreb Tetouan,14/06,1 - 0
30,Youssoufia Berrechid,Jeunesse Sportive Soualem,14/06,2 - 3
30,Berkane,Renaissance Zemamra,13/06,1 - 2
